100 4950
94 61 7.080
99 63 7.191
64 26 3.327
49 48 4.412
38  7 2.648
66 41 0.556
91 39 6.839
82 65 1.085
56 21 6.788
61 54 3.304
43 20 3.327
60 41 10.036
51 34 8.095
62 53 7.206
45 15 7.754
67 62 7.131
29 14 5.611
52 20 1.831
69 52 5.104
66 39 6.576
15 10 2.968
40 35 8.745
81 35 7.690
76 64 1.202
43 36 8.034
59 52 0.451
79 48 8.038
72 18 8.501
91 47 7.812
32 30 2.858
98 11 9.103
40 16 4.989
86  5 3.522
99 62 3.298
69 32 4.143
69  2 2.670
78 34 5.222
98  2 8.549
54 10 6.363
96 58 1.017
51 31 3.922
88 46 6.979
56 42 3.291
53 12 8.632
39 13 4.009
99 13 2.494
26  1 6.896
86 46 2.993
56 17 4.489
82 80 8.261
80 37 7.922
35 30 0.325
66 55 8.311
53 50 7.168
37  9 10.015
74 32 1.739
58 22 6.057
26 12 6.408
30 13 5.167
64 53 7.007
85 71 3.838
91 62 5.936
64 48 8.760
83 65 2.058
66 35 7.217
47 28 0.824
85  0 5.737
64 63 6.818
95 83 3.884
80 40 2.293
62 48 3.633
60 27 0.267
42 13 7.915
76 27 4.552
83 28 4.262
78 25 5.294
97 28 5.887
87 14 1.680
46 25 9.989
78 55 4.376
84 23 8.450
92 22 2.811
70 66 9.208
92 74 9.429
82 62 0.535
36  8 1.668
96 84 3.956
 9  0 6.079
41 20 1.105
79 67 5.242
46 11 4.553
82 55 0.820
74 67 8.668
88 50 9.256
53  8 3.516
51  4 4.880
96 72 3.825
39 31 2.470
48 11 5.161
75 72 0.926
81 69 3.340
54 31 6.707
73  6 7.084
47 44 9.160
75 47 2.128
61 16 1.628
70 58 6.329
67 10 6.133
96 67 6.303
97 18 4.707
91 82 6.236
32 28 3.148
90 54 7.805
54 42 6.966
73 20 8.549
33  1 4.949
68  9 7.077
56  7 1.299
78 73 1.936
60 40 5.007
78 39 2.487
92 18 9.586
92 23 7.145
74 41 2.067
80 15 3.092
57  8 9.627
28 17 6.373
11  5 0.627
80 11 4.783
70 16 9.788
22  8 6.880
74 68 9.397
59 24 2.402
15  7 5.313
80 36 6.877
74 63 5.083
65 21 9.151
89 47 7.073
40 36 4.027
86 79 6.525
70 38 7.343
65 50 2.128
82 53 3.053
99 70 9.187
99 12 6.904
99 91 3.293
72 56 2.629
81 51 7.699
89 75 3.402
48 27 5.480
82  3 4.838
72 51 9.472
50 14 7.278
67  1 6.490
79 31 2.094
81 44 4.914
81  0 4.164
95 91 3.000
78 22 1.532
24 15 5.456
65 22 3.992
69 58 5.713
54 17 6.060
53 11 0.753
76 56 6.353
73 56 0.491
60 44 8.659
74 56 1.820
31  8 5.372
54 37 4.403
71  0 0.264
75 31 3.869
65 60 1.927
72 15 9.846
63 59 3.956
39 24 8.455
93 92 1.622
60 24 3.680
76 53 0.934
77 10 9.614
79 61 3.549
78  0 6.393
84 44 8.653
85 12 7.183
65  7 4.112
44  9 4.534
16 11 7.294
64 33 9.462
92 90 8.072
93 41 6.281
89 55 8.023
74 40 6.954
83 18 8.299
82 43 9.183
90  3 8.076
37 11 0.788
42 24 1.615
84  0 6.814
60  8 0.283
79 62 2.840
90 73 3.364
52  1 3.565
93  5 0.422
97 59 8.570
68 26 2.450
57 56 6.814
40 31 7.670
89 73 9.623
89 56 4.388
83 10 8.601
48 13 9.281
58 31 7.596
23  6 9.428
42  1 3.521
63 38 8.162
94 48 2.269
81 45 3.987
58 10 8.113
90 51 3.091
50 19 7.022
95 25 3.043
55  1 1.180
79 32 9.036
89 61 6.786
19  2 7.899
93 67 2.606
99 39 0.530
80 64 2.696
62 23 5.821
85 66 1.477
95 93 8.485
71 19 8.041
43 30 5.653
69 60 6.499
27 16 8.872
95 73 9.640
72 16 3.942
51 27 3.908
64 27 8.364
98  0 4.609
81 16 6.853
87 70 1.748
35  1 9.553
52 34 8.592
89 83 1.544
87 22 3.674
66  0 2.246
83 17 2.297
83  8 3.228
43 40 8.246
11  9 3.174
18  0 10.086
32 27 6.757
91 53 8.420
33 10 4.386
57 31 1.588
85 52 7.348
61 21 4.916
72 11 9.676
52  4 10.014
76 29 8.588
69 21 0.737
85 63 7.248
33 20 4.573
99  2 7.393
65 23 6.878
89 14 3.123
66 26 4.835
89 78 0.428
70 24 9.788
74  2 4.788
11  2 3.059
78  7 4.399
48 45 8.167
83 19 9.106
72 44 0.201
45 16 7.598
91 34 7.498
32 13 4.742
53 10 0.159
67 46 3.023
76 11 7.441
33 30 2.317
34 12 4.641
13  8 8.619
66  9 3.146
56  1 0.895
53 18 9.210
81 10 0.280
87 56 9.238
95 40 9.078
70  5 6.122
93 35 7.205
29 17 5.159
82 22 8.256
86 21 2.217
62 60 4.152
81 25 6.245
15  3 2.261
77 45 1.899
58 37 9.338
34 32 9.259
81 63 2.939
74 29 3.126
43 15 1.480
63 60 0.835
71  5 7.671
67  0 1.323
80  3 7.575
40  7 3.280
96 41 1.712
93 20 9.071
52 42 6.902
72  6 6.031
70 59 6.964
21 10 3.148
64 28 8.647
62 21 4.567
42 10 7.490
91 87 4.140
80 77 2.826
72 53 3.310
85  9 5.527
29  9 3.283
96 35 1.711
19  9 3.151
48 22 0.484
71 41 7.301
38 26 8.911
51 21 2.002
95 28 1.582
73 68 9.737
92 55 6.538
73  1 2.542
91 88 3.090
50  3 5.446
35  9 6.764
80 52 9.277
33 32 4.732
54 30 9.590
32 19 5.925
54 35 5.666
95 52 7.436
72 28 9.523
52 37 9.461
59 20 0.769
70 65 7.077
89  3 3.957
51 44 3.532
79 12 6.412
99 79 6.373
12  3 5.218
68 41 5.585
72 61 6.781
93 56 9.538
39 37 3.013
44  7 5.276
96 42 8.664
88 55 4.432
40 38 9.114
96 74 0.786
26 19 3.778
62 35 1.628
83 31 6.947
17 14 2.087
94  5 5.069
95 75 6.187
67  3 4.918
48 32 6.657
78 30 3.456
96 23 8.518
80  4 8.868
24  7 9.180
99 58 0.399
55 31 5.867
50  8 0.946
63  2 8.510
52 18 2.165
48 14 0.210
61 30 3.249
43  2 0.291
87 65 2.746
76 59 3.773
57  3 7.982
95 12 0.474
94 75 2.717
66 51 4.355
27 13 5.652
80 42 7.981
91 29 2.902
95  6 4.688
79 18 3.736
66  8 6.436
 8  0 2.113
98 52 0.135
73 31 5.279
59  6 0.659
77 24 0.648
94 30 7.878
68 14 0.561
83 42 1.321
95 66 6.512
34 22 1.263
48 12 3.484
70 41 7.350
89 30 6.633
67 20 6.608
42 22 2.489
93 85 4.355
18  5 8.520
60 43 9.550
92 82 6.343
86  7 1.545
81 11 3.483
71 22 8.336
32 20 3.247
52 32 1.010
69  1 2.334
72 17 2.068
77 40 7.183
69 36 9.928
65 13 0.614
72 24 9.251
40 27 7.967
50 20 3.653
45 13 6.524
83 71 4.564
74 50 8.215
32 26 3.099
59 43 4.739
93 91 4.140
35  8 9.620
93 19 8.385
84 74 7.256
42 14 1.648
93 82 0.310
28 14 4.507
84 11 7.170
81 72 2.040
83 12 7.821
99 40 1.952
25 12 8.866
79 22 2.579
70 34 3.896
56 27 6.733
39  9 3.657
97 77 5.364
98  6 8.392
93 33 7.891
86 65 4.014
62 29 8.081
79  8 8.862
84 54 5.327
25  0 8.876
75 45 10.079
74 37 4.206
98 78 2.183
35 28 7.650
80  2 1.390
39 17 2.885
47  8 0.511
19 11 2.810
88  4 1.411
52  0 9.434
88 69 9.403
78 31 1.371
18 10 4.123
95 36 3.445
62  1 2.892
65 14 1.503
96 18 0.526
68 31 9.782
98 41 8.218
45 24 0.618
88 67 7.088
91 27 1.430
87 81 0.638
63  7 5.097
97 43 2.418
74  8 1.803
74 46 1.861
55 37 4.357
86 58 5.652
35 27 2.426
41 38 3.368
99 53 2.435
27  0 3.670
87 18 6.703
66 37 2.881
38 23 4.576
23  5 9.740
98 35 5.349
48 35 1.420
63 12 6.423
39 18 2.363
76 49 4.990
66 40 3.527
33  3 1.673
 7  1 7.562
63 51 6.899
93 76 8.455
55 13 5.240
83  6 8.712
86 18 5.861
95  5 8.315
85  7 0.638
80 32 2.259
82 34 8.642
85 74 0.875
94 79 0.928
96 64 1.960
67 22 5.953
60  5 1.259
96 49 6.759
97 71 6.327
27  7 7.433
59 14 6.935
12  6 1.130
63 61 3.563
78  3 7.041
39 12 2.439
64 37 1.660
28  4 7.712
78 71 9.330
58 25 2.586
29 26 4.730
86 70 4.579
86 43 1.682
49 10 8.370
57  1 2.933
41 14 9.995
21 13 4.251
75  1 2.702
82  6 9.549
99 37 7.714
94 80 8.620
39 22 7.622
30 21 8.166
60 12 4.270
92  4 5.437
84 13 7.150
41 21 3.042
45 28 3.585
96 80 3.390
52 27 3.270
21  7 1.679
80 59 1.342
63 10 9.626
84 20 1.720
27  9 9.666
96 51 4.232
51 29 6.522
82  9 5.090
51 22 6.381
97 15 6.370
58  1 0.606
96 75 0.515
52 22 4.452
91 50 5.761
80 67 5.707
80  1 1.764
55 44 8.839
81  1 0.277
99  0 3.726
83 81 4.576
60 19 0.590
86 24 7.045
55 27 5.646
69 34 7.163
87 19 9.740
74 13 5.188
89 63 5.956
39 32 1.285
45 37 2.703
87 49 3.062
55 38 0.900
71 29 3.395
79 63 8.610
66  6 3.507
45  1 0.569
27  5 9.591
34  1 6.987
67  2 1.813
63 18 1.881
51 18 4.117
80 30 8.778
80 54 9.045
79 25 2.395
18 13 4.764
50 46 1.011
84 66 5.386
85 80 2.660
94 15 0.118
74  1 10.059
44 36 5.614
88  1 6.227
79  9 8.050
96 85 5.759
71  2 0.747
60 20 2.825
90 11 9.400
57 33 1.810
98 85 5.530
62 19 3.330
31 18 4.207
15 14 0.665
73 25 7.417
32 10 7.886
95 65 5.981
85 24 8.815
68 37 1.416
53  9 5.660
90 81 9.054
24 18 8.564
75  7 4.066
77 35 6.195
56 38 1.185
61 22 0.467
99 67 5.901
79  5 5.642
90 21 5.860
77 59 1.687
24  5 3.992
25  5 1.416
66 48 3.244
83  4 3.192
82 14 4.524
60 45 2.788
70 62 5.991
42 39 3.796
34 24 7.223
76 15 9.486
61 51 2.581
60 33 3.353
32  2 0.956
99 23 1.217
65 64 0.897
87 53 9.567
86 36 0.738
93  0 6.872
89 69 7.293
72 62 0.497
51 36 0.787
93 84 7.126
91 75 2.770
15 11 10.082
25  7 1.391
83 16 3.580
52 14 3.519
15 12 2.970
77 23 9.847
20 16 6.262
33  0 7.417
60 59 9.737
 9  6 6.538
69  4 0.486
35 15 7.149
84 83 4.321
81 60 1.357
75 26 7.815
75 54 2.028
69 13 2.612
61 47 2.336
19 12 1.849
92 85 0.526
98  7 4.703
95 37 3.481
87  9 6.275
54 32 2.472
58 15 1.714
69 38 3.319
75 71 2.636
77 69 0.613
49 47 3.158
76 26 4.993
61 31 10.087
53 14 9.284
99 25 9.317
80 56 9.398
63 33 9.942
35 11 7.927
56 45 5.466
21  9 6.494
62 32 9.979
85 25 0.165
88 19 7.619
32 24 9.734
95 92 5.144
83  5 9.021
35  0 2.362
87 25 7.869
86 45 8.531
90 23 5.755
77 55 7.394
75 63 4.817
90 52 3.544
98 34 8.597
22 15 8.769
41 15 0.235
90 78 4.087
10  8 7.710
81 20 3.632
92 17 7.993
61 38 6.513
85 15 2.033
63 11 5.724
96 50 5.029
69 46 7.489
73  8 1.919
19 16 1.607
48  0 6.051
89 64 5.757
34 15 4.338
67 15 7.607
82 31 2.594
68 51 5.806
15  9 1.186
83 22 9.097
48 26 9.401
47 32 6.885
29  3 7.904
74 11 4.013
77 33 3.897
28  0 7.089
43 38 9.906
65  8 5.413
42 16 3.070
93 81 4.883
95 38 9.621
66 25 5.829
37 14 6.324
71 66 0.722
89 19 9.079
77 52 4.108
82 50 5.010
69 16 8.499
84 62 6.023
54 49 0.526
18  3 9.258
71 36 5.434
45 11 9.062
98 22 0.433
87 45 7.251
78 54 6.953
63  5 9.773
95 47 6.539
73 61 6.601
86 61 7.079
64 45 7.542
59  9 4.844
86 44 0.829
89 49 5.482
63 46 5.896
88  7 1.803
71 70 7.110
63 49 7.097
62 45 4.045
93 87 3.352
85 56 7.416
87 57 5.027
70 51 6.052
64 44 0.920
93 37 1.828
50 44 8.211
14  1 8.937
32 12 0.197
89 65 9.390
99  5 5.773
71 21 0.248
66 23 2.500
83 53 1.119
47 34 5.268
28  8 5.327
68 55 6.300
62 54 8.404
50 13 6.781
87 33 8.818
98 29 5.230
31 30 1.510
88 40 1.480
44 21 2.432
10  3 4.796
64 60 0.928
38 22 5.622
73 39 3.314
75 18 7.167
83 35 5.882
93 48 4.691
15  5 8.969
83  0 1.678
99 30 6.251
99 28 5.362
68 29 9.014
59 47 3.912
99 11 7.531
70 30 7.540
57  4 4.584
62 38 10.065
14  8 2.217
71 56 4.367
36 30 0.774
56 30 7.994
51 35 1.984
 5  2 8.359
88  2 1.473
81 36 6.577
64  3 9.971
71 47 5.164
78 53 2.252
37 26 8.127
54 20 8.937
91 22 2.886
92 91 8.520
24  6 3.046
71 13 6.715
90 75 1.615
95 88 8.723
89 35 6.407
98 97 0.141
76  3 8.873
26  7 6.583
30  6 3.375
98 87 3.038
67 66 6.624
94 54 8.742
95 44 5.084
98 12 9.528
88 27 8.502
97 40 9.795
82 44 9.006
84 69 6.136
38  8 0.703
29 16 8.567
34 25 4.911
61 37 4.866
98 31 2.437
61  6 3.370
96 45 5.331
32  5 2.250
36  7 9.488
70 48 1.835
96 11 0.437
37 32 2.873
38 37 9.520
58 30 8.996
68 20 6.093
 9  7 6.727
64 50 0.637
43 32 7.590
93 31 6.816
74 62 4.396
92 69 7.852
23 19 5.765
72 14 9.706
39  6 8.735
67  5 7.999
68 23 5.162
57 20 7.417
96 26 9.651
85 13 1.939
80  5 9.946
97 23 8.329
85 55 6.698
72 66 0.437
80 53 1.243
86 10 8.242
93 23 2.109
93  8 9.412
48 38 3.929
56  4 7.725
64 57 6.923
44 41 1.945
45  8 8.465
39 30 2.060
92 33 5.541
96 48 4.801
88 36 4.704
40 34 1.458
85 49 8.063
45  0 5.143
68 38 2.190
92 35 1.661
37 19 9.810
78 61 1.019
80 13 6.951
86 78 7.673
51 41 6.162
74 59 6.196
96 81 1.251
97 53 10.079
78  9 3.583
89 76 1.953
57  5 9.558
53 19 1.925
66 19 1.389
86 47 7.958
69  7 8.026
99 16 8.053
91 80 3.994
57 35 8.704
43 23 1.033
92 34 4.076
92 65 8.302
33 21 0.331
87 35 9.130
38 12 5.820
78 21 3.223
89  5 6.213
46 39 3.153
19  3 0.353
89 46 0.827
20 14 6.061
86 25 4.668
59  0 7.970
65 28 3.087
45  3 7.321
97 32 1.002
37 36 7.421
69 30 6.055
92  9 7.855
50 39 7.428
66 29 10.094
99 68 4.869
96 34 7.537
21 18 1.532
74 53 6.963
 4  2 1.450
85 33 6.677
79 13 3.922
61 55 5.645
55 17 0.680
24  9 4.288
83 77 1.218
94 44 7.048
85 37 7.033
76 71 8.377
97 64 1.090
60 58 4.054
31 11 7.916
70 35 3.002
41 40 0.921
51 49 1.353
 4  3 4.946
87 46 9.656
87 48 3.259
13  5 0.333
36 14 4.596
29  4 0.824
28 19 2.322
77 20 3.427
71 24 6.396
71 11 4.526
80 57 9.188
91 43 0.199
14  3 4.490
91 58 0.743
87 82 5.253
54 48 1.298
83 76 1.671
95 55 0.745
97 16 5.714
52 50 9.230
40 19 7.640
61 45 9.905
48  7 4.555
17  6 5.158
43 35 8.447
50 24 5.371
99 85 4.768
81  5 4.644
35 23 4.669
90 53 5.825
85 69 0.948
84 71 4.242
75 16 0.655
62 37 0.681
59 42 0.264
30  0 3.648
46 42 7.374
30 25 1.230
87 30 8.016
27 11 0.116
76 74 0.439
54 16 1.477
72 63 5.419
98 79 8.722
82 69 0.863
64 17 8.357
33 18 9.801
65 20 9.125
74 52 8.123
49  8 0.444
 8  2 0.626
74 16 8.758
93 71 3.299
62 20 1.673
90 58 7.596
40  8 4.527
77 58 0.358
91 30 2.453
57 39 7.140
64 35 7.417
65 19 6.613
76 35 1.808
37  3 5.159
33 16 5.436
38 33 9.483
67 11 8.416
69 44 0.420
83  1 0.458
60 49 8.887
56 50 5.271
21  8 7.525
97 37 6.359
28  2 4.355
97 52 4.414
49 18 7.843
30  1 7.537
85 47 3.631
87  0 9.223
94 59 9.055
77 70 5.333
70 17 5.536
57 32 8.119
68 66 10.009
68 35 7.315
77 13 9.852
86  3 0.916
99 95 9.532
90 62 2.159
53 44 6.034
90 86 3.152
73 21 4.034
 9  4 3.842
87 13 5.475
92  3 9.228
48 19 6.193
68  4 8.493
94  7 1.103
31 16 3.325
71 26 5.354
48 37 1.686
34 16 9.542
68  7 7.116
19  1 4.694
49 27 1.451
70 64 4.988
59 29 1.380
77 17 2.685
49 16 0.475
94 24 6.780
75 56 0.292
90 77 9.311
42 18 3.066
57  0 4.263
76 28 0.711
36  5 2.490
81 66 5.468
43 28 5.751
43 18 9.027
89 74 7.611
24 19 1.625
76 57 7.224
84 18 5.384
95  8 0.485
54 50 4.079
92 63 1.990
64 58 7.518
99 89 4.362
78 76 3.979
98  5 1.323
20 12 2.933
43 27 5.558
34 19 6.065
44 11 9.330
93 58 4.003
78 66 7.950
87 17 4.077
74 36 7.917
45 20 7.393
87 36 9.665
42 35 6.158
92 71 4.167
90 83 6.100
86 57 1.887
85 10 7.239
72 71 6.905
95 50 3.651
54  3 9.209
34 17 7.602
60 22 6.027
35 22 1.733
78 13 4.898
60 53 8.284
76 21 3.944
79 17 6.258
85  6 7.400
75 17 8.498
68  2 7.042
59 35 8.489
25 10 7.528
67 41 2.620
47 45 4.976
85 32 10.072
86 28 2.909
52 17 7.189
 6  3 4.848
88 68 9.622
99 35 1.059
78 28 9.841
60 52 3.254
98 25 3.950
93 29 3.055
66 53 8.735
40 12 2.800
80 71 4.265
41  5 9.121
57 26 9.953
39 26 4.756
41 10 1.250
51 20 8.767
70 19 7.420
66 17 5.169
94 57 6.374
54 41 4.824
55 54 3.984
75 44 6.872
87 62 8.843
95 22 1.282
61 24 1.739
56 33 0.946
77 73 6.640
70 52 5.774
50 27 5.620
93 27 8.610
73 34 8.273
85 72 3.123
64 29 0.389
85 18 3.312
84 16 4.133
55 40 0.277
29  6 8.544
79 16 1.284
69 25 2.948
97 67 5.340
58 42 7.799
83 39 2.734
69  5 8.622
51 24 3.497
69 67 9.511
78 46 8.029
68  0 9.576
30  4 5.733
98 68 9.567
45 32 3.753
31  1 0.267
74 28 0.423
41 19 4.410
 7  0 6.210
74 38 0.222
79 65 8.600
63 42 8.416
75 55 0.435
29 19 5.155
71 45 0.868
30  3 5.760
51 19 0.114
42 38 1.544
19  5 6.617
93 49 3.480
24 20 4.562
69 22 0.816
78 24 2.304
60 34 8.617
67 52 10.018
89 22 0.754
90  7 1.243
56 14 9.760
50 40 4.268
63 21 7.222
41 32 9.005
86 71 2.386
25 15 7.904
31 12 8.686
96 90 0.844
76 58 1.432
92 51 0.888
62 33 7.231
60 57 5.021
55  4 6.293
30  2 6.261
80 45 5.823
96 59 8.242
74 34 4.936
81 73 8.446
96 20 4.215
76 18 0.998
95 54 4.359
96 33 3.111
54 43 3.439
96 95 1.282
90 12 9.410
73 11 1.012
90 29 0.908
83 56 4.327
93 38 9.730
75 58 6.265
82 37 4.395
18  7 7.202
87 29 1.624
43  4 6.701
75 30 2.396
73 36 2.359
56 22 4.395
83 72 0.610
97 63 5.310
74 35 3.689
52  6 1.294
16  1 6.713
87 15 7.066
 9  5 6.674
52 41 1.454
74 65 0.124
38 10 1.995
67 49 0.490
38 24 4.585
93 45 6.022
74 66 6.882
76 62 2.985
73 32 0.549
92 61 6.475
71 67 6.148
86 13 3.953
92 48 4.877
34 33 0.820
66 43 5.556
54 26 6.319
93 13 5.766
26 25 6.324
78 42 8.632
59 31 7.610
53  6 3.181
75 73 8.956
37 21 6.191
37 33 2.754
96 70 7.078
58 44 3.726
45 26 0.992
27 19 2.179
95 49 4.943
97 84 0.704
60 48 0.118
32  6 3.553
94 51 1.433
62 51 3.298
40 32 9.993
80 29 8.770
20 10 6.254
26 23 2.657
74  3 9.450
95 85 4.111
42  8 1.246
36 19 1.781
12  5 9.744
87 43 7.563
85 19 0.883
92 28 3.364
51  8 7.774
78 65 3.509
22 19 7.887
34 28 7.620
59 49 6.001
69 45 6.498
28 27 4.483
82 58 7.555
73 12 5.132
72 41 4.166
96 94 4.044
37 18 8.908
80 69 1.685
91 73 6.196
59 37 5.371
27  4 5.660
11  3 5.350
 8  6 0.363
55  8 5.707
47 31 7.119
56  6 2.325
77 36 1.531
75 42 4.328
47 33 0.143
63 29 7.965
58 52 1.783
86 38 0.104
61 36 9.912
66  1 4.415
76  1 7.375
77  9 8.576
18  4 2.994
31 10 9.613
71 46 4.981
95 84 5.139
50 43 7.143
80 78 6.005
26 18 7.251
13 10 1.556
72 57 8.333
80 75 2.955
63 47 1.046
62 36 4.963
61 39 2.910
86 83 0.327
78 48 1.591
50  7 8.855
96 22 8.729
62 41 0.389
61 58 4.857
58 14 9.117
95  7 7.045
69 11 3.515
72  2 0.270
89 12 5.084
37 34 4.137
46  7 0.549
44 32 1.304
 5  1 5.876
92 49 0.784
10  7 4.330
10  0 1.972
91 41 2.815
87 73 0.355
92 43 3.872
96 61 7.140
13  1 9.682
44 30 7.454
83 41 1.924
98 90 3.491
76 23 1.936
75 39 8.269
97  4 5.990
82 79 2.465
58 23 0.515
59  3 8.450
96 68 5.762
56 41 9.075
20 11 2.638
75 62 8.477
80 70 6.934
86 20 1.605
97 81 4.954
56 35 4.436
87 28 7.457
54  6 7.712
94 92 3.323
81 78 3.391
55  2 4.172
57 46 3.071
84 79 9.417
44  5 5.793
67 14 1.595
61 14 3.695
47  5 5.097
73 44 8.247
91  0 6.175
69 54 2.386
79 71 6.020
45 22 4.659
99 88 6.323
 5  3 1.469
78 67 5.518
90 49 3.886
65 16 2.746
94 65 1.265
72 19 0.104
98 15 1.935
78 26 6.677
81 55 6.007
96  4 7.211
67 65 1.963
79 75 1.900
46 38 4.727
75 34 3.818
33 14 0.606
55  7 4.703
74 31 6.293
43 31 2.961
53 34 8.123
49 19 2.081
74 61 5.040
75 13 5.484
79 19 3.279
 3  0 2.114
44 19 5.343
69 65 6.272
14 10 4.858
69 64 2.144
28 11 1.431
51 15 2.123
76 48 9.608
39 34 6.949
64 62 10.032
94 46 3.870
92 27 2.552
74 25 3.657
68 53 3.436
39 29 4.109
70 50 1.229
75 70 1.546
59 10 6.061
65 41 6.173
43 13 2.964
91 10 5.675
82 28 9.532
44  8 9.499
78 38 6.073
84 25 7.599
17 16 7.493
72 60 9.697
52  7 4.464
72  3 1.111
98 72 1.321
90 25 8.176
92 58 5.061
94 67 6.162
55 50 0.768
93 73 9.736
51 32 1.648
44 40 2.915
44 12 6.888
92 68 0.275
67 43 5.192
63  8 3.426
90 89 6.723
46 17 0.484
94 74 8.344
68 46 7.361
41 24 4.094
53  1 4.084
72 59 5.172
88  0 4.359
63 14 7.316
22  2 9.603
99 34 2.884
72 70 9.470
91 56 5.622
94 35 1.525
82 75 9.231
72 49 8.522
67 28 2.817
62 31 7.937
19  0 8.888
47 20 0.991
29 28 5.803
89 24 6.833
64 19 9.987
23  2 8.934
57 12 5.575
93 25 0.101
96 52 3.806
66 10 6.841
93  1 4.712
70 13 8.555
95 30 7.730
51 11 6.013
73 17 8.152
50 29 8.870
91 31 6.156
73 13 0.115
59 57 6.791
51 48 2.109
42 21 8.694
77 50 5.823
89 81 6.359
91 83 4.241
91 63 4.241
49 34 9.795
72  4 8.609
81 71 0.311
31  6 5.236
74 27 5.155
55 41 5.373
62 40 9.945
73 46 4.176
66 12 2.238
49 15 8.414
18  1 3.656
17  4 7.955
53 28 8.043
83 43 7.643
58 18 0.437
86 67 4.121
89 16 8.241
24  0 8.646
10  2 1.127
85 44 2.490
81 48 9.671
76 68 6.878
95 89 1.230
42 12 4.958
98 65 1.841
47 41 6.299
20  8 1.680
48 39 6.163
84 36 8.222
60 13 0.671
84 50 6.673
77 12 7.497
34  4 2.693
80 51 9.685
85 64 9.466
92 77 4.619
16  8 4.188
39 36 6.002
73 10 8.156
48 23 2.239
91 46 1.241
66 24 1.039
55 49 8.536
76 31 4.454
59 33 3.181
92 42 0.739
54 36 7.742
67 18 9.969
87 58 1.692
62 46 6.802
50  5 7.305
63 45 3.520
45 14 4.830
67 16 7.890
79 10 9.008
49 14 3.761
93 26 9.190
85 68 0.456
57 28 7.010
90  0 2.309
68 42 9.330
82 29 3.400
54 46 9.019
85 57 7.704
86  1 7.620
84 38 1.361
46 33 5.452
42 30 8.545
73 45 4.535
84 49 0.154
 3  2 2.806
44 33 4.402
86 11 6.603
99 78 7.924
45 23 7.537
49 21 9.852
58 41 3.895
38 11 3.500
58 46 3.253
75 50 1.542
68 59 6.331
94 31 6.725
35 19 8.433
33 25 7.382
63 37 3.682
83 57 6.575
94 17 1.779
22  7 8.401
55  5 5.896
97 69 0.259
87 38 1.779
24 11 3.807
18  2 9.621
96 30 9.781
61 44 7.165
13  7 3.987
71 57 2.120
97 50 7.362
96 55 1.763
23 22 0.888
95 64 7.801
71 58 4.482
44 35 9.924
79 15 3.168
93 43 1.389
65 47 4.533
96 46 4.935
73 29 9.349
91 60 7.403
87 34 8.341
80 61 5.455
96 40 1.176
83 66 3.982
48 34 5.908
84 14 2.554
49 46 9.699
74  6 3.340
62 15 7.694
79 74 3.026
99 38 3.882
88 18 8.221
84 81 8.322
91 52 2.159
52 26 7.535
68 62 2.935
61 12 7.637
79  3 2.973
56 49 6.203
79 73 5.910
88 31 4.999
94 12 7.277
82 41 1.302
47  9 3.295
45 21 5.629
65  0 2.147
87 59 1.822
88 75 9.664
77 53 2.856
41  1 0.244
44 17 2.907
92 60 6.930
72 36 4.155
69 26 1.972
 7  3 9.402
87 16 3.197
72 26 4.404
67 27 8.342
98 80 7.932
60  0 1.944
45 27 8.952
70  4 0.363
94 19 0.149
75 29 9.686
50 49 4.374
52 38 7.392
75 40 2.720
89  6 2.976
16  2 3.509
86 15 8.659
64 14 5.725
84 52 6.408
80 24 6.500
80 55 9.927
97 95 8.673
72 39 3.693
12  0 1.433
90 66 2.952
79 44 7.245
78 27 3.241
84 29 8.741
73 53 3.015
25 18 2.671
75  9 3.668
26 24 8.448
86 77 5.646
19 15 8.091
97 94 3.211
61 60 5.678
99 83 4.165
87 24 0.703
29 21 7.763
72 22 4.868
93  6 1.949
81 28 5.091
27  8 9.104
96 21 3.856
20 15 4.533
99 49 9.249
83 68 6.694
92 72 4.447
42 19 8.060
83 23 8.334
91 79 8.914
48 42 4.849
36 22 3.983
23 11 3.770
80 17 1.877
28 21 4.920
87 78 7.343
75 14 8.617
31 23 8.384
85 46 9.991
65 49 4.422
82  0 0.930
89 58 7.962
94 22 8.955
81 64 10.086
90 69 1.749
98 44 1.271
86 60 8.965
76 47 9.128
97 66 7.198
47 13 8.448
46 12 7.023
99 24 7.974
72 43 7.174
50  0 6.700
63  4 4.454
47  1 9.206
55 45 8.402
83 11 3.892
79 30 3.537
33 13 7.511
54 33 1.732
77 64 6.893
93 12 0.367
90 17 5.050
62  8 9.781
70 20 6.271
88 24 5.083
47 36 0.631
40 22 4.973
50 41 0.518
98 89 0.975
74 14 5.050
81 50 10.000
82 13 0.482
78 58 10.021
26 22 1.154
68 58 7.444
60  4 7.048
78  6 2.457
78 49 1.960
56 23 8.003
91 35 4.596
42 37 6.335
 7  5 5.304
47 25 1.097
73 51 1.070
59 21 5.301
42  0 2.887
78 45 1.524
54 28 3.381
56  9 7.240
71 44 8.699
73 22 2.180
12  8 8.522
35 24 5.780
38 13 9.222
87 40 2.361
46 19 5.352
71 54 10.011
49 28 4.755
81 39 9.327
80 28 0.718
91 89 7.086
93 34 9.289
97 30 7.399
89 67 5.063
28 12 6.748
55 53 4.388
